PRODUCT_CATEGORY;REVENUE;STORE_LOCATION;TRANSACTION_DATE;TRANSACTION_TIME;TIME_BUCKET
Coffee beans;45.00;Lower Manhattan;2023/05/13;14:22:32.000;02.Afternoon
Coffee beans;45.00;Hell's Kitchen;2023/06/12;09:05:01.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/05/30;09:29:02.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/06/30;10:25:26.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/06/12;09:02:14.000;01.Morning
Coffee beans;45.00;Astoria;2023/05/20;07:50:58.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/06/12;10:21:25.000;01.Morning
Coffee beans;45.00;Astoria;2023/05/20;08:47:06.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/05/21;08:24:52.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/06/16;10:09:53.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/06/16;10:17:13.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/06/20;15:50:04.000;02.Afternoon
Coffee beans;45.00;Lower Manhattan;2023/06/18;09:48:23.000;01.Morning
Coffee beans;45.00;Astoria;2023/06/19;18:18:51.000;01.Evening
Coffee beans;45.00;Hell's Kitchen;2023/05/16;10:09:53.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/06/12;15:16:12.000;02.Afternoon
Coffee beans;45.00;Hell's Kitchen;2023/05/11;11:24:31.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/06/10;09:20:43.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/05/10;08:20:56.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/05/19;10:47:39.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/06/13;14:22:32.000;02.Afternoon
Coffee beans;45.00;Lower Manhattan;2023/06/27;12:12:41.000;02.Afternoon
Coffee beans;45.00;Astoria;2023/06/09;12:04:39.000;02.Afternoon
Coffee beans;45.00;Lower Manhattan;2023/05/31;14:22:32.000;02.Afternoon
Coffee beans;45.00;Astoria;2023/05/16;08:22:54.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/06/21;08:24:52.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/05/22;10:49:21.000;01.Morning
Coffee beans;45.00;Astoria;2023/06/19;10:58:02.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/05/14;09:53:04.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/05/19;11:58:12.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/06/14;09:30:08.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/05/21;20:52:55.000;04.Night
Coffee beans;45.00;Hell's Kitchen;2023/06/21;10:25:26.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/05/16;10:17:13.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/05/22;08:20:52.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/05/25;08:49:41.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/06/23;09:25:03.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/05/21;12:03:04.000;02.Afternoon
Coffee beans;45.00;Lower Manhattan;2023/06/30;13:03:56.000;02.Afternoon
Coffee beans;45.00;Hell's Kitchen;2023/05/12;09:02:14.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/06/08;09:29:02.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/06/10;15:52:18.000;02.Afternoon
Coffee beans;45.00;Astoria;2023/06/10;19:15:28.000;01.Evening
Coffee beans;45.00;Astoria;2023/05/20;16:56:39.000;01.Evening
Coffee beans;45.00;Hell's Kitchen;2023/05/13;10:51:56.000;01.Morning
Coffee beans;45.00;Astoria;2023/06/20;07:50:58.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/06/19;10:47:39.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/06/11;13:03:56.000;02.Afternoon
Coffee beans;45.00;Hell's Kitchen;2023/06/19;07:33:33.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/05/14;09:30:08.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/06/21;20:52:55.000;04.Night
Coffee beans;45.00;Lower Manhattan;2023/06/27;07:49:34.000;01.Morning
Coffee beans;45.00;Lower Manhattan;2023/06/11;13:53:09.000;02.Afternoon
Coffee beans;45.00;Astoria;2023/06/20;16:56:39.000;01.Evening
Coffee beans;45.00;Lower Manhattan;2023/05/30;09:20:43.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/06/14;09:53:04.000;01.Morning
Coffee beans;45.00;Hell's Kitchen;2023/06/17;06:38:31.000;01.Morning
Coffee beans;45.00;Astoria;2023/06/19;19:37:12.000;01.Evening
Coffee beans;45.00;Astoria;2023/05/17;09:26:25.000;01.Morning
Coffee beans;36.00;Lower Manhattan;2023/06/08;09:13:06.000;01.Morning
Coffee beans;36.00;Lower Manhattan;2023/05/08;09:13:06.000;01.Morning
Coffee beans;36.00;Lower Manhattan;2023/06/30;09:13:06.000;01.Morning
Coffee beans;31.75;Lower Manhattan;2023/06/30;09:42:52.000;01.Morning
Branded;28.00;Lower Manhattan;2023/05/25;08:39:20.000;01.Morning
Branded;28.00;Lower Manhattan;2023/05/25;08:58:05.000;01.Morning
Branded;28.00;Astoria;2023/05/21;19:24:36.000;01.Evening
Branded;28.00;Hell's Kitchen;2023/05/20;08:17:04.000;01.Morning
Branded;28.00;Lower Manhattan;2023/06/26;17:33:41.000;01.Evening
Branded;28.00;Lower Manhattan;2023/06/21;07:11:39.000;01.Morning
Branded;28.00;Astoria;2023/06/14;09:41:06.000;01.Morning
Branded;28.00;Astoria;2023/05/18;19:50:37.000;01.Evening
Branded;28.00;Lower Manhattan;2023/05/25;08:30:29.000;01.Morning
Coffee beans;28.00;Lower Manhattan;2023/06/07;09:59:06.000;01.Morning
Branded;28.00;Lower Manhattan;2023/06/09;09:42:16.000;01.Morning
Branded;28.00;Astoria;2023/05/15;07:57:48.000;01.Morning
Branded;28.00;Astoria;2023/05/21;08:24:42.000;01.Morning
Branded;28.00;Lower Manhattan;2023/05/21;07:11:39.000;01.Morning
Branded;28.00;Astoria;2023/05/21;09:41:06.000;01.Morning
Branded;28.00;Astoria;2023/06/14;09:22:04.000;01.Morning
Branded;28.00;Hell's Kitchen;2023/06/20;10:31:53.000;01.Morning
Coffee beans;28.00;Lower Manhattan;2023/05/07;07:50:42.000;01.Morning
Branded;28.00;Lower Manhattan;2023/05/27;07:09:41.000;01.Morning
Branded;28.00;Lower Manhattan;2023/05/30;08:34:19.000;01.Morning
Branded;28.00;Astoria;2023/05/21;15:38:12.000;02.Afternoon
Branded;28.00;Lower Manhattan;2023/06/13;08:35:26.000;01.Morning
Branded;28.00;Astoria;2023/06/21;09:41:06.000;01.Morning
Branded;28.00;Astoria;2023/06/15;18:22:36.000;01.Evening
Branded;28.00;Lower Manhattan;2023/05/26;09:25:39.000;01.Morning
Branded;28.00;Lower Manhattan;2023/06/14;10:17:52.000;01.Morning
Branded;28.00;Lower Manhattan;2023/06/26;13:44:30.000;02.Afternoon
Branded;28.00;Lower Manhattan;2023/06/26;09:25:39.000;01.Morning
Branded;28.00;Lower Manhattan;2023/06/24;06:26:54.000;01.Morning
Branded;28.00;Astoria;2023/06/18;19:50:37.000;01.Evening
Branded;28.00;Astoria;2023/06/15;15:12:06.000;02.Afternoon
Branded;28.00;Lower Manhattan;2023/05/19;18:04:49.000;01.Evening
Coffee beans;28.00;Lower Manhattan;2023/05/07;07:45:15.000;01.Morning
Branded;28.00;Lower Manhattan;2023/05/09;07:32:37.000;01.Morning
Branded;28.00;Astoria;2023/06/19;11:04:58.000;01.Morning
Branded;28.00;Hell's Kitchen;2023/06/15;07:00:35.000;01.Morning
Branded;28.00;Lower Manhattan;2023/06/25;08:30:29.000;01.Morning
Branded;28.00;Astoria;2023/06/21;19:24:36.000;01.Evening
Branded;28.00;Lower Manhattan;2023/05/17;12:44:40.000;02.Afternoon
Branded;28.00;Hell's Kitchen;2023/05/31;08:17:04.000;01.Morning
Branded;28.00;Astoria;2023/05/18;16:08:56.000;01.Evening
Branded;28.00;Lower Manhattan;2023/06/14;13:17:34.000;02.Afternoon
Coffee beans;28.00;Lower Manhattan;2023/06/07;07:45:15.000;01.Morning
Branded;28.00;Astoria;2023/06/19;18:22:36.000;01.Evening
Branded;28.00;Lower Manhattan;2023/06/25;08:39:20.000;01.Morning
Branded;28.00;Lower Manhattan;2023/06/14;13:07:32.000;02.Afternoon
Branded;28.00;Astoria;2023/05/18;07:18:56.000;01.Morning
Branded;28.00;Astoria;2023/06/17;09:08:53.000;01.Morning
Branded;28.00;Astoria;2023/05/21;10:11:42.000;01.Morning
Branded;28.00;Lower Manhattan;2023/06/17;12:44:40.000;02.Afternoon
Branded;28.00;Astoria;2023/06/17;15:16:54.000;02.Afternoon
Branded;28.00;Hell's Kitchen;2023/06/11;08:25:09.000;01.Morning
Branded;28.00;Astoria;2023/06/11;13:09:00.000;02.Afternoon
Branded;28.00;Lower Manhattan;2023/05/14;10:17:52.000;01.Morning
Branded;28.00;Astoria;2023/05/17;15:16:54.000;02.Afternoon
Branded;28.00;Lower Manhattan;2023/05/17;07:19:45.000;01.Morning
Branded;28.00;Astoria;2023/06/17;17:21:45.000;01.Evening
Branded;28.00;Lower Manhattan;2023/06/21;13:30:00.000;02.Afternoon
Branded;28.00;Astoria;2023/05/14;09:41:06.000;01.Morning
Branded;28.00;Astoria;2023/06/14;15:38:12.000;02.Afternoon
Branded;28.00;Lower Manhattan;2023/06/27;15:19:35.000;02.Afternoon
Branded;28.00;Astoria;2023/05/14;19:24:36.000;01.Evening
Branded;28.00;Astoria;2023/06/21;15:38:12.000;02.Afternoon
Branded;28.00;Lower Manhattan;2023/06/09;07:32:37.000;01.Morning
Branded;28.00;Lower Manhattan;2023/05/24;08:56:17.000;01.Morning
Branded;28.00;Lower Manhattan;2023/06/24;09:26:59.000;01.Morning
Branded;28.00;Lower Manhattan;2023/06/19;07:26:07.000;01.Morning
Branded;28.00;Astoria;2023/05/19;15:12:06.000;02.Afternoon
Branded;28.00;Hell's Kitchen;2023/05/12;08:12:51.000;01.Morning
Branded;28.00;Lower Manhattan;2023/06/09;10:14:36.000;01.Morning
Branded;28.00;Lower Manhattan;2023/06/27;07:09:41.000;01.Morning
Branded;28.00;Lower Manhattan;2023/05/09;09:42:16.000;01.Morning
Branded;28.00;Astoria;2023/05/17;07:36:52.000;01.Morning
Branded;28.00;Lower Manhattan;2023/05/14;13:17:34.000;02.Afternoon
Branded;28.00;Lower Manhattan;2023/05/09;15:49:33.000;02.Afternoon
Branded;28.00;Hell's Kitchen;2023/05/20;10:31:53.000;01.Morning
Branded;28.00;Astoria;2023/06/16;13:54:07.000;02.Afternoon
Branded;28.00;Astoria;2023/05/17;17:21:45.000;01.Evening
Branded;28.00;Astoria;2023/06/19;07:57:48.000;01.Morning
Branded;28.00;Hell's Kitchen;2023/05/21;08:35:24.000;01.Morning
Branded;28.00;Astoria;2023/06/21;08:24:42.000;01.Morning
Branded;28.00;Astoria;2023/06/08;12:54:56.000;02.Afternoon
Branded;28.00;Lower Manhattan;2023/06/30;10:14:36.000;01.Morning
Branded;28.00;Lower Manhattan;2023/05/23;08:54:46.000;01.Morning
Branded;28.00;Astoria;2023/05/30;07:57:48.000;01.Morning
Branded;28.00;Astoria;2023/06/17;10:15:11.000;01.Morning
Branded;28.00;Lower Manhattan;2023/05/24;06:26:54.000;01.Morning
Branded;28.00;Astoria;2023/06/19;14:19:35.000;02.Afternoon
Branded;28.00;Astoria;2023/06/21;09:22:04.000;01.Morning
Branded;28.00;Astoria;2023/05/21;09:22:04.000;01.Morning
Coffee beans;28.00;Lower Manhattan;2023/05/07;09:05:19.000;01.Morning
Branded;28.00;Lower Manhattan;2023/06/24;08:56:17.000;01.Morning
Branded;28.00;Lower Manhattan;2023/06/19;18:04:49.000;01.Evening
Branded;28.00;Hell's Kitchen;2023/05/11;08:25:09.000;01.Morning
Branded;28.00;Astoria;2023/06/15;07:57:48.000;01.Morning
Branded;28.00;Astoria;2023/05/15;11:04:58.000;01.Morning
Branded;28.00;Astoria;2023/06/14;08:24:42.000;01.Morning
Branded;28.00;Hell's Kitchen;2023/05/11;07:20:48.000;01.Morning
Branded;28.00;Hell's Kitchen;2023/06/21;08:35:24.000;01.Morning
Branded;28.00;Astoria;2023/06/15;11:04:58.000;01.Morning
Branded;28.00;Astoria;2023/05/11;08:26:05.000;01.Morning
Branded;28.00;Astoria;2023/05/14;10:11:42.000;01.Morning
Branded;28.00;Lower Manhattan;2023/05/10;10:24:17.000;01.Morning
Branded;28.00;Astoria;2023/06/11;08:26:05.000;01.Morning
Branded;28.00;Astoria;2023/06/14;19:24:36.000;01.Evening
Branded;28.00;Hell's Kitchen;2023/05/15;07:00:35.000;01.Morning
Branded;28.00;Lower Manhattan;2023/06/10;07:03:35.000;01.Morning
Coffee beans;28.00;Lower Manhattan;2023/05/07;09:59:06.000;01.Morning
Branded;28.00;Astoria;2023/05/19;11:04:58.000;01.Morning
Branded;28.00;Astoria;2023/06/14;10:11:42.000;01.Morning
Branded;28.00;Astoria;2023/05/11;13:09:00.000;02.Afternoon
Branded;24.00;Lower Manhattan;2023/06/09;10:55:55.000;01.Morning
Branded;24.00;Lower Manhattan;2023/05/09;10:55:55.000;01.Morning
Branded;23.00;Astoria;2023/05/21;09:41:46.000;01.Morning
Branded;23.00;Astoria;2023/06/14;10:45:03.000;01.Morning
Branded;23.00;Astoria;2023/05/21;10:45:03.000;01.Morning
Branded;23.00;Astoria;2023/06/21;15:45:44.000;02.Afternoon
Branded;23.00;Astoria;2023/06/21;10:45:03.000;01.Morning
Coffee beans;23.00;Lower Manhattan;2023/06/07;09:27:50.000;01.Morning
Branded;23.00;Astoria;2023/05/14;10:45:03.000;01.Morning
Coffee beans;23.00;Lower Manhattan;2023/06/07;09:25:31.000;01.Morning
Branded;23.00;Astoria;2023/06/14;15:45:44.000;02.Afternoon
Branded;23.00;Astoria;2023/05/14;17:41:00.000;01.Evening
Branded;23.00;Astoria;2023/05/14;15:45:44.000;02.Afternoon
Branded;23.00;Astoria;2023/06/21;09:41:46.000;01.Morning
Coffee beans;22.50;Lower Manhattan;2023/06/14;12:26:22.000;02.Afternoon
Coffee beans;22.50;Astoria;2023/06/18;10:18:18.000;01.Morning
Coffee beans;22.50;Astoria;2023/06/19;07:24:36.000;01.Morning
Coffee beans;22.50;Lower Manhattan;2023/05/26;06:49:02.000;01.Morning
Coffee beans;22.50;Astoria;2023/05/20;16:53:41.000;01.Evening
Coffee beans;22.50;Hell's Kitchen;2023/06/17;13:53:11.000;02.Afternoon
Coffee beans;22.50;Astoria;2023/06/15;07:24:36.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/06/09;09:54:12.000;01.Morning
Coffee beans;22.50;Lower Manhattan;2023/05/22;08:16:01.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/05/21;12:48:25.000;02.Afternoon
Coffee beans;22.50;Hell's Kitchen;2023/05/24;13:55:07.000;02.Afternoon
Coffee beans;22.50;Astoria;2023/06/14;13:41:15.000;02.Afternoon
Coffee beans;22.50;Hell's Kitchen;2023/06/14;13:54:08.000;02.Afternoon
Coffee beans;22.50;Hell's Kitchen;2023/06/19;10:24:23.000;01.Morning
Coffee beans;22.50;Astoria;2023/05/16;09:12:58.000;01.Morning
Coffee beans;22.50;Astoria;2023/06/14;08:25:51.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/06/08;17:42:55.000;01.Evening
Coffee beans;22.50;Astoria;2023/06/16;09:12:58.000;01.Morning
Coffee beans;22.50;Lower Manhattan;2023/06/15;15:46:58.000;02.Afternoon
Coffee beans;22.50;Lower Manhattan;2023/05/24;08:17:19.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/05/14;13:54:08.000;02.Afternoon
Coffee beans;22.50;Hell's Kitchen;2023/05/24;18:28:53.000;01.Evening
Coffee beans;22.50;Astoria;2023/05/20;13:18:42.000;02.Afternoon
Coffee beans;22.50;Hell's Kitchen;2023/06/13;18:58:08.000;01.Evening
Coffee beans;22.50;Astoria;2023/06/20;13:18:42.000;02.Afternoon
Coffee beans;22.50;Lower Manhattan;2023/06/21;14:03:30.000;02.Afternoon
Coffee beans;22.50;Hell's Kitchen;2023/06/15;07:29:59.000;01.Morning
Coffee beans;22.50;Lower Manhattan;2023/06/22;08:16:01.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/06/14;20:33:31.000;04.Night
Coffee beans;22.50;Hell's Kitchen;2023/05/13;18:58:08.000;01.Evening
Coffee beans;22.50;Astoria;2023/06/11;09:10:48.000;01.Morning
Coffee beans;22.50;Lower Manhattan;2023/06/17;09:36:03.000;01.Morning
Coffee beans;22.50;Lower Manhattan;2023/06/10;08:54:21.000;01.Morning
Coffee beans;22.50;Astoria;2023/05/18;17:29:02.000;01.Evening
Coffee beans;22.50;Astoria;2023/05/14;08:25:51.000;01.Morning
Coffee beans;22.50;Lower Manhattan;2023/06/26;06:49:02.000;01.Morning
Coffee beans;22.50;Astoria;2023/05/21;08:25:51.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/06/10;11:08:12.000;01.Morning
Coffee beans;22.50;Astoria;2023/05/20;08:45:10.000;01.Morning
Coffee beans;22.50;Lower Manhattan;2023/06/20;10:32:04.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/05/15;07:09:14.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/05/09;09:54:12.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/06/21;13:41:02.000;02.Afternoon
Coffee beans;22.50;Lower Manhattan;2023/05/12;14:23:13.000;02.Afternoon
Coffee beans;22.50;Hell's Kitchen;2023/06/17;14:03:34.000;02.Afternoon
Coffee beans;22.50;Hell's Kitchen;2023/05/25;12:25:24.000;02.Afternoon
Coffee beans;22.50;Hell's Kitchen;2023/06/14;08:30:29.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/05/13;08:27:52.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/06/17;06:34:55.000;01.Morning
Coffee beans;22.50;Astoria;2023/06/21;13:41:15.000;02.Afternoon
Coffee beans;22.50;Lower Manhattan;2023/06/08;08:49:04.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/05/14;08:37:03.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/06/09;10:44:54.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/06/24;18:28:53.000;01.Evening
Coffee beans;22.50;Astoria;2023/05/11;09:10:48.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/05/19;17:19:28.000;01.Evening
Coffee beans;22.50;Hell's Kitchen;2023/05/09;10:44:54.000;01.Morning
Coffee beans;22.50;Astoria;2023/05/19;07:24:36.000;01.Morning
Coffee beans;22.50;Lower Manhattan;2023/05/21;14:03:30.000;02.Afternoon
Coffee beans;22.50;Hell's Kitchen;2023/06/20;20:54:59.000;04.Night
Coffee beans;22.50;Hell's Kitchen;2023/05/17;13:53:11.000;02.Afternoon
Coffee beans;22.50;Hell's Kitchen;2023/06/20;12:29:02.000;02.Afternoon
Coffee beans;22.50;Hell's Kitchen;2023/06/13;08:27:52.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/05/20;20:54:59.000;04.Night
Coffee beans;22.50;Lower Manhattan;2023/05/14;12:26:22.000;02.Afternoon
Coffee beans;22.50;Hell's Kitchen;2023/05/10;11:08:12.000;01.Morning
Coffee beans;22.50;Lower Manhattan;2023/06/12;14:23:13.000;02.Afternoon
Coffee beans;22.50;Hell's Kitchen;2023/05/21;13:41:02.000;02.Afternoon
Coffee beans;22.50;Lower Manhattan;2023/05/25;10:20:42.000;01.Morning
Coffee beans;22.50;Astoria;2023/06/18;17:29:02.000;01.Evening
Coffee beans;22.50;Astoria;2023/06/20;14:10:43.000;02.Afternoon
Coffee beans;22.50;Lower Manhattan;2023/06/24;08:17:19.000;01.Morning
Coffee beans;22.50;Lower Manhattan;2023/05/17;09:36:03.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/06/25;12:25:24.000;02.Afternoon
Coffee beans;22.50;Astoria;2023/06/17;11:48:20.000;01.Morning
Coffee beans;22.50;Astoria;2023/05/18;10:18:18.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/05/22;08:03:09.000;01.Morning
Coffee beans;22.50;Hell's Kitchen;2023/06/14;08:37:03.000;01.Morning
Coffee beans;21.00;Astoria;2023/05/21;15:38:12.000;02.Afternoon
Coffee beans;21.00;Hell's Kitchen;2023/06/12;19:05:01.000;01.Evening
Coffee beans;21.00;Astoria;2023/05/20;10:17:42.000;01.Morning
Coffee beans;21.00;Lower Manhattan;2023/06/21;10:50:14.000;01.Morning
Coffee beans;21.00;Astoria;2023/06/15;08:56:19.000;01.Morning
Coffee beans;21.00;Lower Manhattan;2023/06/27;16:28:58.000;01.Evening
Coffee beans;21.00;Astoria;2023/06/19;08:56:19.000;01.Morning
Coffee beans;21.00;Astoria;2023/05/09;16:04:41.000;01.Evening
Coffee beans;21.00;Astoria;2023/06/14;08:33:58.000;01.Morning
Coffee beans;21.00;Hell's Kitchen;2023/05/24;10:24:27.000;01.Morning
Coffee beans;21.00;Astoria;2023/05/09;07:59:55.000;01.Morning
Coffee beans;21.00;Hell's Kitchen;2023/06/22;19:27:07.000;01.Evening
Coffee beans;21.00;Astoria;2023/06/10;07:21:24.000;01.Morning
Coffee beans;21.00;Hell's Kitchen;2023/05/08;07:49:14.000;01.Morning
Coffee beans;21.00;Hell's Kitchen;2023/05/30;08:47:56.000;01.Morning
Coffee beans;21.00;Astoria;2023/06/08;13:27:58.000;02.Afternoon
Coffee beans;21.00;Lower Manhattan;2023/05/11;08:28:19.000;01.Morning
Coffee beans;21.00;Lower Manhattan;2023/05/27;16:28:58.000;01.Evening
Coffee beans;21.00;Astoria;2023/06/15;10:52:37.000;01.Morning
Coffee beans;21.00;Hell's Kitchen;2023/05/25;08:46:27.000;01.Morning
Coffee beans;21.00;Hell's Kitchen;2023/05/16;11:09:37.000;01.Morning
Coffee beans;21.00;Astoria;2023/06/20;10:17:42.000;01.Morning
Coffee beans;21.00;Hell's Kitchen;2023/06/16;11:09:37.000;01.Morning
Coffee beans;21.00;Lower Manhattan;2023/06/07;07:44:17.000;01.Morning
Coffee beans;21.00;Hell's Kitchen;2023/05/13;09:50:20.000;01.Morning
Coffee beans;21.00;Lower Manhattan;2023/06/19;07:19:23.000;01.Morning
Coffee beans;21.00;Hell's Kitchen;2023/05/22;19:27:07.000;01.Evening
Coffee beans;21.00;Hell's Kitchen;2023/06/13;12:59:54.000;02.Afternoon
Coffee beans;21.00;Astoria;2023/05/31;08:33:58.000;01.Morning
Coffee beans;21.00;Astoria;2023/05/16;19:37:37.000;01.Evening
Coffee beans;21.00;Hell's Kitchen;2023/05/19;16:34:31.000;01.Evening
Coffee beans;21.00;Hell's Kitchen;2023/06/30;08:23:47.000;01.Morning
Coffee beans;21.00;Hell's Kitchen;2023/06/12;09:32:06.000;01.Morning
Coffee beans;21.00;Lower Manhattan;2023/05/09;13:29:31.000;02.Afternoon
Coffee beans;21.00;Astoria;2023/06/18;17:09:21.000;01.Evening
Coffee beans;21.00;Astoria;2023/06/19;10:52:37.000;01.Morning
Coffee beans;21.00;Hell's Kitchen;2023/06/13;09:50:20.000;01.Morning
Coffee beans;21.00;Hell's Kitchen;2023/05/20;08:23:47.000;01.Morning
Coffee beans;21.00;Astoria;2023/05/31;13:27:58.000;02.Afternoon
Coffee beans;21.00;Lower Manhattan;2023/05/08;08:17:35.000;01.Morning
Coffee beans;21.00;Hell's Kitchen;2023/06/16;08:26:10.000;01.Morning
Coffee beans;21.00;Astoria;2023/06/09;16:04:41.000;01.Evening
Coffee beans;21.00;Hell's Kitchen;2023/06/12;10:07:15.000;01.Morning
Coffee beans;21.00;Lower Manhattan;2023/05/07;10:14:20.000;01.Morning
Coffee beans;21.00;Lower Manhattan;2023/05/17;16:15:30.000;01.Evening
Coffee beans;21.00;Lower Manhattan;2023/05/27;10:37:30.000;01.Morning
Coffee beans;21.00;Lower Manhattan;2023/06/08;08:07:10.000;01.Morning
Coffee beans;21.00;Lower Manhattan;2023/05/31;09:00:38.000;01.Morning
Coffee beans;21.00;Lower Manhattan;2023/05/12;16:51:16.000;01.Evening
Coffee beans;21.00;Hell's Kitchen;2023/06/14;17:54:46.000;01.Evening
Coffee beans;21.00;Astoria;2023/05/08;13:27:58.000;02.Afternoon
Coffee beans;21.00;Lower Manhattan;2023/05/22;10:51:42.000;01.Morning
Coffee beans;21.00;Astoria;2023/06/14;15:38:12.000;02.Afternoon
Coffee beans;21.00;Astoria;2023/05/15;08:56:19.000;01.Morning
